ROWNUM;VEHICLE_NUM;FULL_NAME;BLANK_NUM;VEHICLE_BRAND_MODEL;INN;OGRN;
32;"У385ЕО197";"ВОЛЧКОВ ПАВЕЛ ИГОРЕВИЧ";"009300";"HYUNDAI SONATA";"773501373764";"311774624800417";
33;"С788СК177";"Нестерович Александр Иванович";"009305";"FORD FOCUS";"772379769963";"311774629200442";
34;"Х590МА177";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009243";"HYUNDAI ACCENT";"773573035517";"311774624800406";
35;"Р912КВ199";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009247";"HYUNDAI ACCENT";"773573035517";"311774624800406";
36;"М311ЕС197";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009249";"HYUNDAI ACCENT";"773573035517";"311774624800406";
37;"А570ТУ199";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009251";"HYUNDAI ACCENT";"773573035517";"311774624800406";
38;"А571ТУ199";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009254";"HYUNDAI ACCENT";"773573035517";"311774624800406";
39;"С262ТЕ177";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009256";"HYUNDAI ACCENT";"773573035517";"311774624800406";
40;"Р914КВ199";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009259";"HYUNDAI ACCENT";"773573035517";"311774624800406";
41;"Р916КВ199";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009260";"HYUNDAI ACCENT";"773573035517";"311774624800406";
42;"Х592ВК197";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009262";"HYUNDAI SONATA";"773573035517";"311774624800406";
43;"Х739ВК197";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009266";"HYUNDAI SONATA";"773573035517";"311774624800406";
44;"Х738ВК197";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009272";"HYUNDAI SONATA";"773573035517";"311774624800406";
45;"Н630ВО18";"ФЕФИЛОВ АЛЕКСЕЙ АНАТОЛЬЕВИЧ";"016741";"KIA RIO";"182910388576";"311183714600040";
46;"Е225ОР197";"Коминов Виталий Сергеевич";"009308";"Chevrolet Lacetti (J200)";"771576835780";"311774628600458";
47;"Р170РВ197";"Ануров Александр Владимирович";"009310";"Nissan Teana";"773113541440";"311774625500846";
48;"Н914СТ77";"Кротов Григорий Витальевич";"МСК 028454";"KIA JD CEED";"771400662318";"304770000500182";
49;"О625МУ199";"Герасимов Роман Вячеславович";"009313";"TOYOTA COROLLA";"773201360475";"311774628500889";
50;"Р120ОУ197";"ФЕТИСОВ ИЛЬЯ АЛЕКСАНДРОВИЧ";"009319";"FORD FOCUS";"771814263244";"311774624900050";
51;"М844ЕХ197";"Шалаев Малик Борисович";"009320";"FORD FOCUS";"774300175965";"311774627200660";
52;"С499РА69";"НАРЗИЕВ АБДУВОСИД САМАДОВИЧ";"029615";"TOYOTA AVENSIS";"693101811043";"311695229300022";
53;"В448ТО90";"АЛЕКСАНДРОВ ПЕТР НИКОЛАЕВИЧ";"009329";"PEUGEOT 405";"504002943570";"311504029400114";
54;"М681ТК197";"БУШМИН СТАНИСЛАВ ВАСИЛЬЕВИЧ";"015343";"HONDA CR-V";"771565202810";"308774628300538";
55;"Х596ХВ199";"ВЛАСОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ";"009332";"RENAULT MEGANE II";"772343948302";"304770000471842";
56;"Р667РВ197";"ООО ""Автостандарт""";"009335";"SKODA OCTAVIA";"7727658557";"1087746947782";
57;"Р662РВ197";"ООО ""Автостандарт""";"009336";"SKODA OCTAVIA";"7727658557";"1087746947782";
58;"Р661РВ197";"ООО ""Автостандарт""";"009337";"SKODA OCTAVIA";"7727658557";"1087746947782";
59;"Р665РВ197";"ООО ""Автостандарт""";"009338";"SKODA OCTAVIA";"7727658557";"1087746947782";
60;"Т542УТ197";"ДЕРЯБИН СЕРГЕЙ ПЕТРОВИЧ";"МСК 018829";"CHEVROLET CRUZE KL1J";"771535818320";"311774625800712";
61;"У491СУ199";"ИГНАТЬЕВ ВИТАЛИЙ НИКОЛАЕВИЧ";"009348";"PEUGEOT 406";"771502464594";"311774624901178";
62;"У667ХЕ199";"НАЗАРЯН МГЕР СЕДРАКИ";"009353";"RENAULT SR";"771500950486";"311774628601086";
63;"А228НА197";"Попов Виктор Геннадьевич";"009355";"CHEVROLET CRUZE";"772472392479";"311774628600641";
64;"Р696НО197";"Маркелов Игорь Игоревич";"009361";"HYUNDAI GRAND STAREX";"771510428504";"311774629201122";
65;"Х112КЕ197";"Ененков Александр Михайлович";"009364";"HYUNDAI SONATA";"860223083762";"311774629400672";
66;"Н568МН37";"ЗУЛЬГАДАРОВ ИССА КАНАНОВИЧ";"009363";"CHEVROLET KLAN (J200)";"370413216156";"311370428400017";
67;"С157РА197";"ООО ""АВТОКОМ""";"009367";"Ford Mondeo";"7713621941";"5077746857304";
68;"Х675НЕ199";"Панков Федор Алексеевич";"009369";"Daewoo Espero";"772388247177";"311774629800466";
69;"А075НА197";"ОСИПОВ АНДРЕЙ ЮРЬЕВИЧ";"009129";"CITROEN BERLINGO";"772018072892";"311774615400139";
70;"О756АТ199";"ЕРМАКОВ АНДРЕЙ АНАТОЛЬЕВИЧ";"009167";"NYUNDAI SONATA";"772427511879";"306770000514142";
71;"ЕО15977";"ООО ""НЖТ-ВОСТОК""";"009178";"FORD FOCUS";"7719750140";"1107746402246";
72;"ЕО19477";"ООО ""НЖТ-ВОСТОК""";"009187";"FORD FOCUS";"7719750140";"1107746402246";
73;"О493АТ197";"САБАЕВ МИХАИЛ ВЛАДИМИРОВИЧ";"009169";"CHEVROLET KLAN (J200/LACETTI)";"773370074599";"311774628600436";
74;"Р562НУ161";"ГУЛИЕВ АЛИ МЮЛЬКЮ ОГЛЫ";"009192";"TOYOTA CAMRY";"615489998150";"308615415700120";
75;"Е646ХУ150";"Солодянников Валентин Вениаминович";"009212";"RENAULT LOGAN (SR)";"505202743386";"309505015400014";
76;"Е838ОА190";"МАЛЬЦЕВ ЮРИЙ СЕРГЕЕВИЧ";"009215";"HYUNDAI SONATA";"502411633889";"308502415900023";
77;"Р960НМ199";"Дерюшенков Александр Николаевич";"009218";"KIA FV2273 SPEKTRA";"771544664700";"308774630400451";
78;"Е474УО61";"ИСМАИЛОВ ФАХРАДДИН ФАМИЛ ОГЛЫ";"009233";"NISSAN ALMERA 1.5";"614310230981";"311617408900017";
79;"М463УХ199";"МИТРЮШКИН ИГОРЬ ВИКТОРОВИЧ";"009231";"KIA YED (SEYE`D)";"770400076801";"304770000242370";
80;"С255СУ199";"ВОЛЧКОВ ПАВЕЛ ИГОРЕВИЧ";"009283";"HYUNDAI ACCENT";"773501373764";"311774624800417";
81;"К521АМ197";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009246";"HYUNDAI ACCENT";"773573035517";"311774624800406";
82;"Х591ВК197";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009265";"HYUNDAI SONATA";"773573035517";"311774624800406";
83;"Х842МТ197";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009271";"HYUNDAI SONATA";"773573035517";"311774624800406";
84;"М164НО46";"Шамоян Ширин Агитович";"009316";"KIA AVELLA (DB 2222)";"460900057760";"311461327900018";
85;"Р663РВ197";"ООО ""Автостандарт""";"009333";"SKODA OCTAVIA";"7727658557";"1087746947782";
86;"В603ВТ177";"Алимбаев Александр Мавлекеевич";"009345";"KIA KARENS";"772318906549";"311774625000714";
87;"К162ОХ197";"ИШНИАЗОВ ФАТЫХ ФААТОВИЧ";"009360";"NISSAN TEANA";"771503593899";"311774621001308";
88;"С159РА197";"ООО ""АВТОКОМ""";"009368";"Ford Mondeo";"7713621941";"5077746857304";
89;"С020НС177";"ЧЕВЕЛЬЧА ВАЛЕРИЙ ВАСИЛЬЕВИЧ";"009379";"TOYOTA LAND CRUISER PRADO";"773315156716";"311774617400383";
90;"Р450РВ197";"ООО ""Роял Авто""";"009393";"RENAULT LOGAN SR";"7724795700";"1117746512971";
91;"Р703РВ197";"ООО ""Роял Авто""";"009396";"RENAULT LOGAN";"7724795700";"1117746512971";
92;"С881ОУ197";"ООО ""Авалком""";"009423";"RENAULT LOGAN";"7701649702";"1067746392724";
93;"У057СХ199";"Солдатенков Александр Владимирович";"009413";"Audi 100";"772879246802";"308770000377108";
94;"О208ОВ197";"ООО ""ВИАДУК АВТО""";"009450";"Hyundai SOLARIS";"7724775703";"1117746044481";
95;"О210ОВ197";"ООО ""ВИАДУК АВТО""";"009453";"Hyundai SOLARIS";"7724775703";"1117746044481";
96;"М684ТС71";"ЕРМИЛИН ГЕННАДИЙ ВАЛЕНТИНОВИЧ";"МСК 026061";"CHEVROLET KLAN J200/LACETTI";"710504506296";"308715415100010";
97;"А228РА197";"Буянов Алексей Владимирович";"009467";"FORD FOCUS";"771405139704";"311774630100432";
98;"К948МН197";"Иванов Александр Геннадиевич";"009470";"VAZ 21114";"772907552949";"309774634100144";
99;"О584ХМ199";"Арутюнов Герман Эдуардович";"009473";"Chevrolet Klan (J200/Lacetti)";"773565011270";"304770000521710";
100;"У935ЕН197";"ЛЕГЕНЬКОВ ЛЕОНИД ВИТАЛЬЕВИЧ";"009482";"CITROEN C5";"772641690070";"305770000030411";
101;"В818ХР199";"ЖМУДЕНКО ОЛЕГ ВАСИЛЬЕВИЧ";"009485";"SKODA OCTAVIA";"773200611905";"311774629901509";
102;"В818СС197";"Бальчунас Антон Рамунасович";"017594";"FORD FOCUS";"773172181944";"311774624901231";
103;"С516РА197";"ООО ""ХК""";"009508";"SKODA OCTAVIA";"7714839034";"1117746345650";
104;"А029СН197";"КУБЕЛУН ВЯЧЕСЛАВ ЯНКЕЛЕВИЧ";"014967";"RENAULT FLUENCE";"773318907079";"311774630401315";
105;"Е601МО199";"ПАЛАТОВ АЛЕКСАНДР СЕМЕНОВИЧ";"009522";"VOLVO S 80";"561500206807";"311774604500018";
106;"Е807ХК97";"ЗИНЧЕНКО НИКОЛАЙ ВАЛЕРЬЕВИЧ";"009530";"RENAULT LOGAN SR";"183300303189";"308770000303941";
107;"Е048РК197";"Солодников Олег Альбертович";"009533";"Skoda Octavia";"774314371913";"311774627001381";
108;"М043КТ40";"Калинцев  Александр Николаевич";"009543";"Opel Astra";"402907641201";"311402928300014";
109;"Р044НМ77";"Кочергин Павел Борисович";"МСК 028102";"CITROEN BERLINGO";"771565216308";"309774607700331";
110;"Е898ОН197";"Залиев Саид Сайдаминович";"МСК 009545";"CHEVROLET KLAN (J200/CHEVROLET)";"772850427490";"311774626900122";
111;"У 489 ВА 07";"КАФОЕВ МУАЕД МУХАДИНОВИЧ";"009546";"OPEL ASTRA";"070801932137";"310072422400011";
112;"О796ВС197";"САЛАХЕТДИНОВ РАШИД РАФЕКОВИЧ";"009553";"KIA FB2272 (SPECTRA)";"772151115650";"311774625001234";
113;"А350ТН199";"Булычев Владимир Михайлович";"009974";"FORD FOCUS";"772131974861";"306770000382009";
114;"Е876СС199";"ЛЯНЬКОВСКИЙ ВИКТОР ВАСИЛЬЕВИЧ";"009556";"RENAULT SR";"771977901101";"306770000401811";
115;"М198ТХ199";"Шимко Георгий Витальевич";"009558";"NISSAN MAKSIMA 2.0 SE";"772640951795";"308770000047514";
116;"Р804ОН197";"ООО ТК ""ВЕГА""";"009559";"Renault Logan";"7718697951";"1087746446611";
117;"В629РМ197";"Ульянов Василий Иванович";"010814";"LIFAN 214813";"771533988446";"307770000184358";
118;"В664МС197";"Болотвин Александр Геннадьевич";"009565";"GAZ 3221";"770408154949";"311774630400405";
119;"Х412РХ199";"КОБИЛЕЦКИЙ ВАЛЕНТИН ВАЛЕНТИНОВИЧ";"009566";"MITSUBISHI LANSER 1.6 STW";"773371591624";"309774625900350";
120;"Р258РЕ197";"ООО ""Автостандарт""";"009569";"SKODA OCTAVIA";"7727658557";"1087746947782";
121;"Р259РЕ197";"ООО ""Автостандарт""";"016678";"SKODA OCTAVIA";"7727658557";"1087746947782";
122;"Р263РЕ197";"ООО ""Автостандарт""";"009571";"SKODA OCTAVIA";"7727658557";"1087746947782";
123;"Р261РЕ197";"ООО ""Автостандарт""";"009573";"SKODA OCTAVIA";"7727658557";"1087746947782";
124;"Р262РЕ197";"ООО ""Автостандарт""";"009574";"SKODA OCTAVIA";"7727658557";"1087746947782";
125;"Х658РВ197";"Федотов Алексей Александрович";"МСК 015066";"DAEWOO NEXIA";"772319395640";"311774625200851";
126;"ЕО27777";"ООО ""НЖТ-ЗАПАД""";"009578";"FORD FOCUS";"7719755444";"1107746566542";
127;"ЕО27677";"ООО ""НЖТ-ЗАПАД""";"009579";"FORD FOCUS";"7719755444";"1107746566542";
128;"ЕО27577";"ООО ""НЖТ-ЗАПАД""";"009580";"FORD FOCUS";"7719755444";"1107746566542";
129;"ЕО27477";"ООО ""НЖТ-ЗАПАД""";"009587";"FORD FOCUS";"7719755444";"1107746566542";
130;"Т121МО197";"ВАНЯН ВЛАДИМИР ЛЕВОНОВИЧ";"009586";"FORD FOCUS";"773365127301";"308770000381506";
131;"ЕО28077";"ООО ""НЖТ-ВОСТОК""";"МСК 009592";"FORD FOCUS";"7719750140";"1107746402246";
132;"ЕО27877";"ООО ""НЖТ-ВОСТОК""";"МСК 009593";"FORD FOCUS";"7719750140";"1107746402246";
133;"ЕО28277";"ООО ""НЖТ-ВОСТОК""";"МСК 009595";"FORD FOCUS";"7719750140";"1107746402246";
134;"ЕО28377";"ООО ""НЖТ-ВОСТОК""";"МСК 009596";"FORD FOCUS";"7719750140";"1107746402246";
135;"ЕО28677";"ООО ""НЖТ-ВОСТОК""";"МСК 009598";"FORD FOCUS";"7719750140";"1107746402246";
136;"ЕО28577";"ООО ""НЖТ-ВОСТОК""";"МСК 009599";"FORD FOCUS";"7719750140";"1107746402246";
137;"ЕО27977";"ООО ""НЖТ-ВОСТОК""";"МСК 009602";"FORD FOCUS";"7719750140";"1107746402246";
138;"К293РА197";"Волкова Ирина Евгеньевна";"009591";"Volkswagen Polo";"773570980135";"305770000028914";
139;"В101МО199";"Селезнев Александр Иванович";"МСК 009589";"HYUNDAI TUCSON 2.0 GLS AT";"771816850304";"307770000290416";
140;"Е439ХМ197";"Дербоян Роланд Гасанович";"МСК 022579";"KIA CEE`D";"772344245006";"309774615300941";
141;"О473НХ197";"ООО ""Домашний уют""";"МСК009605";"CITROEN BERLINGO";"7708734361";"1117746128653";
142;"О269НХ197";"ООО ""Домашний уют""";"МСК 009609";"CITROEN BERLINGO";"7708734361";"1117746128653";
143;"С679СР197";"Грехов Александр Александрович";"МСК 015215";"NISSAN TIIDA";"772481285000";"311774606101087";
144;"Р610СН190";"ВЛАСОВА ЮЛИЯ ВАЛЕРЬЕВНА";"МСК 009613";"HYUNDAI GRAND STAREX";"501906680505";"311501905900045";
145;"М528КН30";"БУРЯКОВ АЛЕКСЕЙ АЛЕКСЕЕВИЧ";"МСК 009617";"RENAULT LOGAN SR";"301704019791";"311301523000011";
146;"ЕА31177";"ООО ""НЖТ""";"МСК 009618";"FORD FOCUS";"7719719679";"1097746142306";
147;"ЕО16977";"ООО ""НЖТ""";"МСК 009621";"FORD FOCUS";"7719719679";"1097746142306";
148;"ЕО17177";"ООО ""НЖТ""";"МСК 009622";"FORD FOCUS";"7719719679";"1097746142306";
149;"ЕО20177";"ООО ""НЖТ""";"МСК 009626";"FORD FOCUS";"7719719679";"1097746142306";
150;"ЕО26877";"ООО ""НЖТ""";"МСК 009630";"FORD FOCUS";"7719719679";"1097746142306";
151;"ЕО26777";"ООО ""НЖТ""";"МСК 009631";"FORD FOCUS";"7719719679";"1097746142306";
152;"ЕО26377";"ООО ""НЖТ""";"МСК 009635";"FORD FOCUS";"7719719679";"1097746142306";
153;"ЕО18077";"ООО ""НЖТ-ЗАПАД""";"009163";"FORD FOCUS";"7719755444";"1107746566542";
154;"ЕО18277";"ООО ""НЖТ-ЗАПАД""";"009164";"FORD FOCUS";"7719755444";"1107746566542";
155;"ЕО15477";"ООО ""НЖТ-ВОСТОК""";"009173";"FORD FOCUS";"7719750140";"1107746402246";
156;"В759РА62";"РЫЖЕНКОВ РОМАН АЛЕКСАНДРОВИЧ";"009195";"VOLKSWAGEN POLO";"623202371919";"311623207300027";
157;"Н974УЕ197";"КОМРАКОВ МАКСИМ НИКОЛАЕВИЧ";"017630";"NISSAN TEANA 3.5PREMIUM";"772137580366";"311774627601397";
158;"В214ЕА73";"САЗОНОВ АЛЕКСАНДР СЕРГЕЕВИЧ";"009204";"FORD MONDEO";"730101638542";"311730607500011";
159;"С263ХН199";"ВОЛЧКОВ ПАВЕЛ ИГОРЕВИЧ";"009290";"HYUNDAI ACCENT";"773501373764";"311774624800417";
160;"С263ТЕ177";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009242";"HYUNDAI ACCENT";"773573035517";"311774624800406";
161;"С260ТЕ177";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009245";"HYUNDAI ACCENT";"773573035517";"311774624800406";
162;"Р910КВ199";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009250";"HYUNDAI ACCENT";"773573035517";"311774624800406";
163;"Х741ВК197";"ШУТОВ ПАВЕЛ ВАСИЛЬЕВИЧ";"009268";"HYUNDAI SONATA";"773573035517";"311774624800406";
164;"Х026ТК77";"ГОРБАЧЕВ АНДРЕЙ ЕВГЕНЬЕВИЧ";"009326";"GAZ 3102";"771301833604";"311774625500880";
165;"М213ОС197";"КУЗИН АЛЕКСАНДР ВАЛЕНТИНОВИЧ";"009351";"NISSAN ALMERA CLASSIC 1.6PE";"772802197912";"311774628000932";
166;"Х289ЕК197";"ГОНЧАРОВ РОМАН ВЛАДИМИРОВИЧ";"009356";"RENAULT LAGUNA 2ESTATEDY118BD";"774302871830";"309774625900817";
167;"Н449КН177";"Зарубин Андрей Викторович";"009374";"VAZ 21074";"772072765888";"308770000398730";
168;"С361ОН197";"ДЖАФАРОВ РАССУЛ САДЫ ОГЛЫ";"009385";"DAEWOO NEXIA";"741856333720";"311741828600031";
169;"С974ОУ197";"ООО ""ТАКСИ""";"009389";"Peugeot Partner";"7714526095";"1037789018849";
170;"А807КЕ197";"СЛЕСАРЕВ ИГОРЬ ВЛАДИМИРОВИЧ";"009402";"FIAT DOBLO 223AXP1A";"773383804556";"311774629901108";
171;"Р702РВ197";"ООО ""Роял Авто""";"009395";"RENAULT LOGAN";"7724795700";"1117746512971";
172;"В513ОВ197";"КАНКИЯ ТЕЙМУРАЗ ВЛАДИМИРОВИЧ";"009398";"VOLKSWAGEN PASSAT";"772965022901";"305770000263185";
173;"Т961ОМ197";"КОТОН АЛЕКСАНДР МИХАЙЛОВИЧ";"009399";"CHEVROLET LACETTI L200/KLAN";"772003059916";"309774611200711";
174;"Х873НВ161";"Сипетин Виктор Александрович";"009400";"FORD FOCUS";"611501316835";"311617322000032";
175;"А118ОМ197";"ГОЖЕНКО ГЕОРГИЙ МИХАЙЛОВИЧ";"009403";"FORD FOCUS";"772000317196";"304770000511146";
176;"О070НА197";"Зардиашвили Джемали Нодарович";"009404";"Renault SR";"773165075631";"311774617300164";
177;"Е743ЕВ197";"МЕЛКОНЯН ВАСАК ГРАСТАНОВИЧ";"009414";"NISSAN ALMERA CLASSIC";"771475313755";"311774613600115";
178;"У289МН197";"ГОРЕЛКО НИКОЛАЙ ИВАНОВИЧ";"009416";"HYUNDAI SOLARIS 1.6 GIMT";"773112281969";"310774632000452";
179;"Х076ЕН197";"ВАСИЛЬЕВ ВЛАДИМИР НИКОЛАЕВИЧ";"009417";"NISSAN X-TRAIL";"772700374400";"307770000420524";
180;"Х817ТМ197";"Соломенцев Виктор Иванович";"016716";"SKODA OCTAVIA";"771903993179";"308770000416042";
181;"А322АТ177";"Мурадов Полад Бахаддин Оглы";"009406";"Chevrolet ВИВА";"773573324646";"310774627300941";
182;"Т640ТК97";"ЛУЗГАНОВ АЛЕКСАНДР ЮРЬЕВИЧ";"009420";"HYUNDAI ELANTRA 1.6GL";"771803769529";"311774629000316";
183;"К993МК197";"Жамалов Руслан Яруллович";"009421";"KIA CERATO";"771877715038";"311774630000948";
184;"С813ОУ197";"ООО ""Авалком""";"009430";"RENAULT LOGAN";"7701649702";"1067746392724";
185;"Т453ОУ197";"Иночкин Игорь Васильевич";"009407";"Kia Rio";"772151255294";"308774633300067";
186;"Е406ТУ197";"ТРУСИЛЬНИКОВА АНЖЕЛИКА НИКОЛАЕВНА";"017882";"RENAULT LOGAN";"770100604306";"311774628700971";
187;"Р661КЕ197";"СУХИНИН АЛЕКСАНДР НИКОЛАЕВИЧ";"009435";"FORD FOCUS";"772201927850";"309774630201132";
188;"В232РА199";"Гугнин Валентин Николаевич";"009412";"Ford Focus";"772365085473";"306770000569782";
189;"С463ОМ197";"МИННИБАЕВ АЛИ ХАЙДЯРОВИЧ";"009436";"ZAZ CHANCE";"771614243113";"304770000622924";
190;"Н380ОК197";"МАХМУДОВ МИРЗА КАМИЛЬ ОГЛЫ";"009437";"CHEVROLET LACETTI";"772465160188";"309774605500816";
191;"М554НУ177";"Гришин Дмитрий Владимирович";"009438";"Renault Logan SR";"771801345517";"307770000204780";
192;"О207ОВ197";"ООО ""ВИАДУК АВТО""";"009452";"Hyundai SOLARIS";"7724775703";"1117746044481";
193;"Р865ОО197";"ООО ""ВИАДУК АВТО""";"009454";"Hyundai SOLARIS";"7724775703";"1117746044481";
194;"С579ТХ197";"Асташкин Олег Борисович";"009439";"KIA TD CERATOFORTE";"771802781121";"309774606900515";
195;"О550АУ197";"Кудряшов Сергей Александрович";"009458";"FORD MONDEO";"132707103246";"311774618501060";
196;"Р239ОУ62";"Тумасян Аршак Суренович";"009442";"Ford Mondeo";"690139747031";"304690111100235";
197;"Х367РА199";"КОНОНЕНКО АЛЕКСАНДР НИКОЛАЕВИЧ";"009463";"OPEL ASTRA (A-N)";"773571856758";"309774625901163";
198;"А457ХЕ97";"ТАБАТАДЗЕ РОИНИ ВАРЛАМОВИЧ";"009464";"MAZDA 3";"771600026060";"306770000251077";
199;"М496УО77";"Чабрин Юрий Музафарович";"027035";"Ford Focus";"773409042400";"310774622300026";
200;"К748МТ32";"Лыков Евгений Николаевич";"009472";"РЕНО Logan (SR)";"501905715160";"308325228900022";
201;"У685РЕ190";"МОЛОЗЕВ МИХАИЛ ВИКТОРОВИЧ";"009476";"CHEVROLET LACETTI";"503605587305";"308507435100012";
202;"Н101АА199";"ЛОБАНОВ СЕРГЕЙ ЕВГЕНЬЕВИЧ";"009481";"SUZUKI GRAND VITARA";"772818506404";"311774627901274";
203;"Т457РЕ197";"МЕЛКОВ МИХАИЛ БОРИСОВИЧ";"009484";"HYUNDAI SOLARIS";"771575391404";"311774628700926";
204;"Е297РВ197";"ООО ""УСПЕХ""";"009486";"DAEWOO NEXIA";"7705909550";"1107746083940";
205;"А554НН197";"Федько Владислав Викторович";"МСК 009489";"TOYOTA ESTIMA";"711306778331";"311715405300163";
206;"К852РВ197";"ООО ""Вижин-Т""";"009498";"Kia CEE'D ED";"7723776849";"1107746911667";
207;"К851РВ197";"ООО ""Вижин-Т""";"009500";"Kia CEE'D ED";"7723776849";"1107746911667";
